filename	title	source_url	license_url
1993.wav	Clinking coins	https://assets.mixkit.co/active_storage/sfx/1993/1993.wav	https://mixkit.co/license/
1936.wav	Magical coin win	https://assets.mixkit.co/active_storage/sfx/1936/1936.wav	https://mixkit.co/license/
1989.wav	Money bag drop	https://assets.mixkit.co/active_storage/sfx/1989/1989.wav	https://mixkit.co/license/
2841.wav	Atm cash machine key press	https://assets.mixkit.co/active_storage/sfx/2841/2841.wav	https://mixkit.co/license/
833.wav	Metal hammer hit	https://assets.mixkit.co/active_storage/sfx/833/833.wav	https://mixkit.co/license/
830.wav	Hammer hit on wood	https://assets.mixkit.co/active_storage/sfx/830/830.wav	https://mixkit.co/license/
821.wav	Saw cut machine working	https://assets.mixkit.co/active_storage/sfx/821/821.wav	https://mixkit.co/license/
855.wav	Electrical drill	https://assets.mixkit.co/active_storage/sfx/855/855.wav	https://mixkit.co/license/
811.wav	Sci Fi construction complete	https://assets.mixkit.co/active_storage/sfx/811/811.wav	https://mixkit.co/license/
201.wav	Prison metal door close	https://assets.mixkit.co/active_storage/sfx/201/201.wav	https://mixkit.co/license/
2842.wav	Door key in door lock	https://assets.mixkit.co/active_storage/sfx/2842/2842.wav	https://mixkit.co/license/
194.wav	Slamming a door	https://assets.mixkit.co/active_storage/sfx/194/194.wav	https://mixkit.co/license/
2861.wav	Clear announce tones	https://assets.mixkit.co/active_storage/sfx/2861/2861.wav	https://mixkit.co/license/
2865.wav	Success software tone	https://assets.mixkit.co/active_storage/sfx/2865/2865.wav	https://mixkit.co/license/
2871.wav	Dial error tone	https://assets.mixkit.co/active_storage/sfx/2871/2871.wav	https://mixkit.co/license/
462.wav	Huge crowd cheering victory	https://assets.mixkit.co/active_storage/sfx/462/462.wav	https://mixkit.co/license/
469.wav	People moaning sadly	https://assets.mixkit.co/active_storage/sfx/469/469.wav	https://mixkit.co/license/
473.wav	Cartoon failure piano	https://assets.mixkit.co/active_storage/sfx/473/473.wav	https://mixkit.co/license/
2594.wav	Electric buzz glitch	https://assets.mixkit.co/active_storage/sfx/2594/2594.wav	https://mixkit.co/license/
3123.wav	Technology notification	https://assets.mixkit.co/active_storage/sfx/3123/3123.wav	https://mixkit.co/license/
937.wav	Happy bells notification	https://assets.mixkit.co/active_storage/sfx/937/937.wav	https://mixkit.co/license/
987.wav	Game notification wave alarm	https://assets.mixkit.co/active_storage/sfx/987/987.wav	https://mixkit.co/license/
916.wav	Clock countdown bleeps	https://assets.mixkit.co/active_storage/sfx/916/916.wav	https://mixkit.co/license/
dice-natural.flac	Wooden dice on wooden table roll 3	https://opengameart.org/sites/default/files/Holzw%C3%BCrfel_auf_Holztisch_3.flac	https://creativecommons.org/publicdomain/zero/1.0/
